study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12469	SAMEA4028775	ERS1199885	ERX1544992	ERR1473845	630652	Bregmaceros cantori	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473845/ERR1473845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473845/ERR1473845_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473845/ERR1473845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473845/ERR1473845_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473845/6_Index_13.21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473845/6_Index_13.21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473845/6_Index_13.21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473845/6_Index_13.21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473845	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473845		
PRJEB12469	SAMEA4028775	ERS1199885	ERX1544993	ERR1473846	630652	Bregmaceros cantori	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473846/ERR1473846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473846/ERR1473846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473846/ERR1473846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473846/ERR1473846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473846/HI.1644.002.Index_13.Fish_21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473846/HI.1644.002.Index_13.Fish_21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473846/HI.1644.002.Index_13.Fish_21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473846/HI.1644.002.Index_13.Fish_21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473846	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473846		
PRJEB12469	SAMEA4028776	ERS1199886	ERX1544994	ERR1473847	89951	Merluccius polli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473847/ERR1473847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473847/ERR1473847_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473847/ERR1473847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1473847/ERR1473847_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473847/4_Index_15.15_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473847/4_Index_15.15_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473847/4_Index_15.15_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473847/4_Index_15.15_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/007/ERR1473847	ftp.sra.ebi.ac.uk/vol1/err/ERR147/007/ERR1473847		
PRJEB12469	SAMEA4028777	ERS1199887	ERX1544995	ERR1473848	8063	Merluccius merluccius	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473848/ERR1473848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473848/ERR1473848_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473848/ERR1473848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1473848/ERR1473848_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473848/4_Index_13.13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473848/4_Index_13.13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473848/4_Index_13.13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473848/4_Index_13.13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/008/ERR1473848	ftp.sra.ebi.ac.uk/vol1/err/ERR147/008/ERR1473848		
PRJEB12469	SAMEA4028777	ERS1199887	ERX1544996	ERR1473849	8063	Merluccius merluccius	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473849/ERR1473849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473849/ERR1473849_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473849/ERR1473849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1473849/ERR1473849_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473849/HI.1644.001.Index_13.Fish_13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473849/HI.1644.001.Index_13.Fish_13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473849/HI.1644.001.Index_13.Fish_13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473849/HI.1644.001.Index_13.Fish_13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/009/ERR1473849	ftp.sra.ebi.ac.uk/vol1/err/ERR147/009/ERR1473849		
PRJEB12469	SAMEA4028778	ERS1199888	ERX1544997	ERR1473850	89947	Merluccius capensis	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473850/ERR1473850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473850/ERR1473850_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473850/ERR1473850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1473850/ERR1473850_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473850/4_Index_14.14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473850/4_Index_14.14_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473850/4_Index_14.14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473850/4_Index_14.14_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/000/ERR1473850	ftp.sra.ebi.ac.uk/vol1/err/ERR147/000/ERR1473850		
PRJEB12469	SAMEA4028779	ERS1199889	ERX1544998	ERR1473851	181410	Melanonus zugmayeri	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473851/ERR1473851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473851/ERR1473851_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473851/ERR1473851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1473851/ERR1473851_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473851/4_Index_16.16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473851/4_Index_16.16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473851/4_Index_16.16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473851/4_Index_16.16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/001/ERR1473851	ftp.sra.ebi.ac.uk/vol1/err/ERR147/001/ERR1473851		
PRJEB12469	SAMEA4028779	ERS1199889	ERX1544999	ERR1473852	181410	Melanonus zugmayeri	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473852/ERR1473852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473852/ERR1473852_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473852/ERR1473852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1473852/ERR1473852_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473852/HI.1644.001.Index_16.Fish_16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473852/HI.1644.001.Index_16.Fish_16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473852/HI.1644.001.Index_16.Fish_16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473852/HI.1644.001.Index_16.Fish_16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/002/ERR1473852	ftp.sra.ebi.ac.uk/vol1/err/ERR147/002/ERR1473852		
PRJEB12469	SAMEA4028780	ERS1199890	ERX1545000	ERR1473853	487677	Muraenolepis marmoratus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473853/ERR1473853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473853/ERR1473853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473853/ERR1473853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1473853/ERR1473853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473853/5_Index-9.20_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473853/5_Index-9.20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473853/5_Index-9.20_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473853/5_Index-9.20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/003/ERR1473853	ftp.sra.ebi.ac.uk/vol1/err/ERR147/003/ERR1473853		
PRJEB12469	SAMEA4028781	ERS1199891	ERX1545001	ERR1473854	562814	Trachyrincus scabrus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473854/ERR1473854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473854/ERR1473854_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473854/ERR1473854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1473854/ERR1473854_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473854/8_Index-8.36_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473854/8_Index-8.36_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473854/8_Index-8.36_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473854/8_Index-8.36_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473854	ftp.sra.ebi.ac.uk/vol1/err/ERR147/004/ERR1473854		
PRJEB12469	SAMEA4028781	ERS1199891	ERX1545002	ERR1473855	562814	Trachyrincus scabrus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473855/ERR1473855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473855/ERR1473855_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473855/ERR1473855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1473855/ERR1473855_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473855/HI.1644.001.Index_8.Fish_36_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473855/HI.1644.001.Index_8.Fish_36_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473855/HI.1644.001.Index_8.Fish_36_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473855/HI.1644.001.Index_8.Fish_36_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473855	ftp.sra.ebi.ac.uk/vol1/err/ERR147/005/ERR1473855		
PRJEB12469	SAMEA4028782	ERS1199892	ERX1545003	ERR1473856	241836	Trachyrincus murrayi	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473856/ERR1473856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473856/ERR1473856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473856/ERR1473856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1473856/ERR1473856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473856/Fish_94_5D_2_AGTTCC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473856/Fish_94_5D_2_AGTTCC_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473856/Fish_94_5D_2_AGTTCC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR1473856/Fish_94_5D_2_AGTTCC_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473856	ftp.sra.ebi.ac.uk/vol1/err/ERR147/006/ERR1473856		
